,beds,guests,bedrooms,baths,bath,bedroom,bed,half-bath
https://www.airbnb.com/rooms/13621553,2,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/1362610,2,4,2,2,0,0,0,0
https://www.airbnb.com/rooms/13635039,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13644710,0,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/13649924,4,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/13665803,8,8,4,2,0,0,0,0
https://www.airbnb.com/rooms/1366799,6,8,3,2,0,0,0,0
https://www.airbnb.com/rooms/13717387,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13739350,3,6,3,3,0,0,0,0
https://www.airbnb.com/rooms/13741504,2,4,0,2,0,1,0,0
https://www.airbnb.com/rooms/13742815,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13748353,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/13778396,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13780161,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13793807,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/13804969,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/13805762,2,5,2,2,0,0,0,0
https://www.airbnb.com/rooms/13813336,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/13813648,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13817731,0,5,0,0,1,1,1,0
https://www.airbnb.com/rooms/13826084,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13840134,3,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/1384387,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13843942,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13844900,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13850520,6,11,6,3,0,0,0,0
https://www.airbnb.com/rooms/13853340,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13871254,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/13875497,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13880399,3,4,2,0,0,0,0,0
https://www.airbnb.com/rooms/13881268,0,2,0,0,0,1,0,0
https://www.airbnb.com/rooms/13887767,0,2,0,0,0,1,0,0
https://www.airbnb.com/rooms/13890847,0,3,0,1.5,0,1,1,0
https://www.airbnb.com/rooms/13897848,4,6,3,2,0,0,0,0
https://www.airbnb.com/rooms/13901737,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/13903121,2,5,2,1.5,0,0,0,0
https://www.airbnb.com/rooms/13904574,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/13907395,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13908131,3,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/13909999,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/13923300,0,3,0,0,1,1,1,0
